"","Patch","Plant_ID","Bract","Treatment","Pollen_Donor","Poll_Date","Poll_Time","Coll_Date","Coll_Time","Damage","Out","Notes"
"159","K1",795,5,"NE",762,2024-05-22,1899-12-30 08:30:00,2024-05-23,1899-12-30 03:17:00,0,2,""
"160","K1",796,3,"NE",762,2024-05-22,1899-12-30 08:38:00,2024-05-23,1899-12-30 03:18:00,0,1,""
"161","K1",796,4,"ND-Far",762,2024-05-22,1899-12-30 08:42:00,2024-05-23,1899-12-30 03:20:00,0,0,""
"162","K1",775,3,"HPO",762,2024-05-22,1899-12-30 08:59:00,2024-05-23,1899-12-30 03:21:00,0,2,""
"163","K1",776,2,"NE",762,2024-05-22,1899-12-30 09:03:00,2024-05-23,1899-12-30 03:22:00,0,1,""
"164","K1",777,2,"ND-S",777,2024-05-22,1899-12-30 09:10:00,2024-05-23,1899-12-30 03:23:00,0,5,""
"165","K1",777,7,"SD",762,2024-05-22,1899-12-30 09:14:00,2024-05-23,1899-12-30 03:25:00,0,2,""
"166","K2",778,1,"NE",762,2024-05-22,1899-12-30 09:30:00,2024-05-23,1899-12-30 03:28:00,0,4,""
"167","K2",779,4,"ND-Far",762,2024-05-22,1899-12-30 09:45:00,2024-05-23,1899-12-30 03:30:00,0,3,""
"168","K2",778,4,"SD",762,2024-05-22,1899-12-30 09:48:00,2024-05-23,1899-12-30 03:36:00,0,3,""
"169","K1",793,1,"NE",762,2024-05-23,1899-12-30 08:50:00,2024-05-23,1899-12-30 03:10:00,0,6,""
"170","K1",793,5,"ND-NN",730,2024-05-23,1899-12-30 08:55:00,2024-05-24,1899-12-30 03:12:00,0,2,""
"171","K1",794,1,"NE",762,2024-05-23,1899-12-30 09:05:00,2024-05-24,1899-12-30 03:14:00,0,2,""
"172","K1",796,2,"ND-S",796,2024-05-23,1899-12-30 09:10:00,2024-05-24,1899-12-30 03:16:00,0,1,""
"173","K2",797,4,"ND-S",797,2024-05-23,1899-12-30 09:15:00,2024-05-24,1899-12-30 03:18:00,0,9,""
"174","K1",775,4,"ND-NN",736,2024-05-23,1899-12-30 09:20:00,2024-05-24,1899-12-30 03:24:00,0,0,""
"175","K1",776,3,"HPO",762,2024-05-23,1899-12-30 09:30:00,2024-05-24,1899-12-30 03:26:00,0,0,""
"176","K1",777,6,"ND-Far",762,2024-05-23,1899-12-30 09:35:00,2024-05-24,1899-12-30 03:29:00,0,3,""
"177","K2",778,5,"ND-S",778,2024-05-23,1899-12-30 09:42:00,2024-05-24,1899-12-30 03:30:00,0,0,""
"178","K1",795,1,"ND-S",795,2024-05-24,1899-12-30 08:10:00,2024-05-25,1899-12-30 01:20:00,0,6,"Colectado temprano por lluvia."
"179","K1",795,6,"SD",762,2024-05-24,1899-12-30 08:12:00,2024-05-25,1899-12-30 01:22:00,0,2,""
"180","K1",796,3,"NE",762,2024-05-24,1899-12-30 08:15:00,2024-05-25,1899-12-30 01:25:00,0,1,""
"181","K1",796,5,"SD",762,2024-05-24,1899-12-30 08:20:00,2024-05-25,1899-12-30 01:26:00,0,0,""
"182","K2",797,7,"HPO",762,2024-05-24,1899-12-30 08:30:00,2024-05-25,1899-12-30 01:29:00,0,8,""
"183","K1",775,5,"SD",762,2024-05-24,1899-12-30 08:38:00,2024-05-25,1899-12-30 01:30:00,0,0,""
"184","K2",779,4,"ND-Far",762,2024-05-24,1899-12-30 08:45:00,2024-05-25,1899-12-30 01:32:00,0,3,""
"185","K1",793,3,"ND-S",793,2024-05-25,1899-12-30 09:01:00,2024-05-27,1899-12-30 10:59:00,0,5,""
"186","K1",794,3,"SD",762,2024-05-25,1899-12-30 09:06:00,2024-05-27,1899-12-30 03:03:00,0,1,""
"187","K1",796,4,"ND-Far",762,2024-05-25,1899-12-30 09:12:00,2024-05-27,1899-12-30 03:06:00,0,0,""
"188","K2",797,6,"SD",762,2024-05-25,1899-12-30 09:29:00,2024-05-27,1899-12-30 03:10:00,0,8,""
"189","K1",776,2,"NE",762,2024-05-25,1899-12-30 09:33:00,2024-05-27,1899-12-30 03:12:00,0,1,""
"190","K1",776,3,"HPO",762,2024-05-25,1899-12-30 09:36:00,2024-05-27,1899-12-30 03:14:00,0,0,""
"191","K1",777,2,"ND-S",777,2024-05-25,1899-12-30 09:40:00,2024-05-27,1899-12-30 03:16:00,0,5,""
"192","K1",777,6,"ND-Far",762,2024-05-25,1899-12-30 09:50:00,2024-05-27,1899-12-30 03:19:00,0,3,""
"193","K1",777,7,"SD",762,2024-05-25,1899-12-30 10:00:00,2024-05-27,1899-12-30 03:22:00,0,2,""
"194","K2",778,4,"SD",762,2024-05-25,1899-12-30 10:04:00,2024-05-27,1899-12-30 03:26:00,0,3,""
"195","K2",778,5,"ND-S",778,2024-05-25,1899-12-30 10:08:00,2024-05-27,1899-12-30 03:30:00,0,0,""
"196","K2",779,2,"SD",762,2024-05-24,1899-12-30 09:00:00,2024-05-25,1899-12-30 01:35:00,0,6,""
"197","K1",793,1,"Polish",NA,2024-05-27,1899-12-30 08:03:00,2024-05-28,NA,NA,6,"Dia lluvioso"
"198","K1",793,5,"Polish",NA,2024-05-27,1899-12-30 08:06:00,2024-05-28,NA,NA,2,""
"199","K1",793,3,"ND-S",793,2024-05-27,1899-12-30 08:12:00,2024-05-28,1899-12-30 02:51:00,0,5,""
"200","K1",794,1,"Polish",NA,2024-05-27,1899-12-30 08:14:00,2024-05-28,NA,NA,1,""
"201","K1",795,6,"Polish",NA,2024-05-27,1899-12-30 08:16:00,2024-05-28,NA,NA,1,""
"202","K1",796,2,"Polish",NA,2024-05-27,1899-12-30 08:20:00,2024-05-28,NA,NA,1,""
"203","K1",796,3,"NE",762,2024-05-27,1899-12-30 08:23:00,2024-05-28,1899-12-30 02:52:00,0,0,""
"204","K1",796,4,"Polish",NA,2024-05-27,1899-12-30 08:25:00,2024-05-28,NA,NA,0,""
"205","K1",796,5,"Polish",NA,2024-05-27,1899-12-30 08:40:00,2024-05-28,NA,NA,0,""
"206","K2",797,4,"ND-S",797,2024-05-27,1899-12-30 08:45:00,2024-05-28,1899-12-30 02:55:00,0,9,""
"207","K2",797,6,"SD",762,2024-05-27,1899-12-30 08:50:00,2024-05-28,1899-12-30 03:00:00,0,8,""
"208","K1",775,2,"Polish",NA,2024-05-27,1899-12-30 09:01:00,2024-05-28,NA,0,3,""
"209","K1",775,3,"Polish",NA,2024-05-27,1899-12-30 09:03:00,2024-05-28,NA,0,2,""
"210","K1",775,4,"Polish",NA,2024-05-27,1899-12-30 09:06:00,2024-05-28,NA,0,0,""
"211","K1",775,5,"SD",762,2024-05-27,1899-12-30 09:11:00,2024-05-28,1899-12-30 03:05:00,0,0,""
"212","K1",776,2,"NE",762,2024-05-27,1899-12-30 09:13:00,2024-05-28,1899-12-30 03:10:00,0,1,""
"213","K1",777,7,"SD",762,2024-05-27,1899-12-30 09:18:00,2024-05-28,1899-12-30 03:14:00,0,2,""
"214","K1",794,3,"SD",762,2024-05-28,1899-12-30 08:20:00,2024-05-29,1899-12-30 03:02:00,0,1,"Lluvia"
"215","K1",796,4,"ND-Far",762,2024-05-28,1899-12-30 08:30:00,2024-05-29,1899-12-30 03:06:00,0,0,""
