Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,734,4,5,HPO,762,Y,2024-03-25,8:39,2024-03-26,16:37,0,,Y,Ferne,Ferne,N,2024-03-28,8:26,
K1,737,5,9,HPO,766,N,2024-03-25,9:03,2024-03-26,16:40,0,,Y,Ferne,Ferne,N,2024-03-28,8:38,
K1,737,7,9,HPO,769,N,2024-03-25,9:07,2024-03-26,16:41,0,,Y,Ferne,Ferne,N,2024-03-28,8:40,
K1,738,2,7,HPO,758,Y,2024-03-25,9:17,2024-03-26,16:42,0,,Y,Ferne,Ferne,N,2024-03-28,13:50,
K2,800,7,8,HPO,766,N,2024-03-25,9:50,2024-03-26,16:47,0,,Y,Ferne,Ferne,N,2024-03-28,8:56,
K3,744,5,6,HPO,762,Y,2024-03-25,10:03,2024-03-26,16:50,0,,Y,Ferne,Ferne,N,2024-03-28,9:01,Anthers look black. Flower potentially mixed up with B3.
K1,738,2,7,HPO,765,Y,2024-03-27,7:59,2024-03-28,13:49,9,,Y,Ferne,Ferne,N,2024-03-28,13:50,
K1,734,2,3,ND,755,Y,2024-03-15,9:00,2024-03-16,15:12,1,0,Y,Ferne,Ferne,N,2024-03-25,8:41,
K1,736,1,7,ND,757,Y,2024-03-15,9:18,2024-03-16,9:08,1,6,Y,Ferne,Ferne,N,2024-03-25,9:01,"Fell off early. Flower had a slight bruise, but no hole."
K1,737,3,6,ND,759,Y,2024-03-15,9:38,2024-03-16,15:19,0,4,Y,Ferne,Ferne,N,2024-03-28,8:35,PD 759 was visited by a RTHU
K2,739,3,8,ND,755,Y,2024-03-15,10:01,2024-03-16,15:24,0,14,Y,Ferne,Ferne,N,2024-03-25,9:30,"Plant 739 is visited very often and has a lot of ripe and ripenning fruits, a little old for polliantions though"
Mike,740,4,5,ND,757,Y,2024-03-15,10:26,2024-03-16,15:03,0,4,Y,Ferne,Ferne,N,2024-03-25,10:34,
K1,735,3,4,ND,761,Y,2024-03-16,9:03,2024-03-17,15:42,0,1,Y,Ferne,Ferne,N,2024-03-25,8:51,
K2,743,1,5,ND,763,Y,2024-03-16,10:16,2024-03-17,15:54,0,17,Y,Ferne,Ferne,N,2024-03-25,9:56,4 fruits are mature in this bract
Mike,740,2,5,ND,762,Y,2024-03-16,9:49,2024-03-17,15:39,0,7,Y,Ferne,Ferne,N,2024-03-28,9:07,Top of style and flower eaten
K1,734,2,4,ND,N/A,N/A,2024-03-18,9:26,N/A,N/A,N/A,,N,Ferne,N/A,Y,2024-03-25,8:41,YFK
K1,736,1,8,ND,758,Y,2024-03-18,8:16,2024-03-19,15:05,0.5,,Y,Ferne,Ferne,N,2024-03-25,9:01,Style stuck to fruit
K1,737,3,7,ND,762,Y,2024-03-18,8:31,2024-03-19,15:04,1,,Y,Ferne,Ferne,N,2024-03-28,8:35,Top of style eaten
K1,738,3,6,ND,759,Y,2024-03-18,8:40,2024-03-19,15:00,0,6,Y,Ferne,Ferne,N,2024-03-28,8:42,"Many dead fruits in this bract, plus larvae"
Mike,740,4,5,ND,759,Y,2024-03-18,9:14,2024-03-19,15:19,1,,Y,Ferne,Ferne,N,2024-03-25,10:34,Nectary empty
K1,732,5,7,ND,764,Y,2024-03-19,9:25,2024-03-20,15:37,0,6,Y,Mike,Ferne,N,2024-03-28,8:20,
K1,735,3,4,ND,759,Y,2024-03-19,9:44,2024-03-20,15:32,0,,Y,Mike,Ferne,N,2024-03-25,8:51,
K2,739,3,8,ND,764,Y,2024-03-19,8:59,2024-03-20,15:45,0,,Y,Mike,Ferne,N,2024-03-25,9:30,Flower was hard to take out
K3,744,1,6,ND,764,Y,2024-03-19,8:33,2024-03-20,15:49,0,7,Y,Ferne,Ferne,N,2024-03-25,10:06,
K3,747,1,2,ND,755,Y,2024-03-19,8:51,2024-03-20,15:46,0,0,Y,Ferne,Ferne,N,2024-03-28,14:08,Flower warped 
Mike,740,2,5,ND,759,Y,2024-03-19,10:06,2024-03-20,15:26,1,,Y,Mike,Ferne,N,2024-03-28,9:07,Style eaten
K1,734,2,4,ND,758,Y,2024-03-20,9:13,2024-03-21,16:01,0,,Y,Mike,Ferne,N,2024-03-25,8:41,
K1,737,3,8,ND,761,Y,2024-03-20,9:22,2024-03-21,16:03,0,,Y,Mike,Ferne,N,2024-03-28,8:35,Plant left open this morning! Style was eaten
K2,742,4,5,ND,765,Y,2024-03-20,9:35,2024-03-21,15:56,0,0,Y,Mike,Ferne,N,2024-03-25,9:41,
K1,733,1,4,ND,753,Y,2024-03-21,8:20,N/A,N/A,N/A,5,N,Ferne,Ferne,N,2024-03-25,8:36,"4 of the 5 ""out"" are dead. Flower was lost, but not killed!"
K1,735,3,5,ND,767,N,2024-03-21,8:40,2024-03-22,16:48,0,,Y,Mike,Ferne,N,2024-03-25,8:51,
K1,736,1,9,ND,762,Y,2024-03-21,8:45,2024-03-22,16:50,0,,Y,Mike,Ferne,N,2024-03-25,9:01,Flower stuck to fruit
K1,738,3,7,ND,758,Y,2024-03-21,8:54,2024-03-22,16:52,0,,Y,Mike,Ferne,N,2024-03-28,8:42,Ants!
