patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
old_pots,774,4,NN,556,12-Mar,8:23:00 AM,N/A,N/A,13-Mar,3:00,covered,N,
old_pots,774,8,SW,527,12-Mar,8:25:00 AM,N/A,N/A,13-Mar,3:00,covered,N,"Eaten, only half left"
KT,770,1,ND,546,12-Mar,8:30:00 AM,N/A,N/A,13-Mar,3:05,covered,N,
KT,770,4,ND,531,12-Mar,8:32:00 AM,N/A,N/A,13-Mar,3:05,covered,N,
K1,535,5,ND,562,12-Mar,8:42:00 AM,N/A,N/A,13-Mar,3:07,open,N,Forgot to put bill in father flower
K1,535,6,ND,556,12-Mar,8:43:00 AM,N/A,N/A,13-Mar,3:09,covered,N,Forgot to put bill in father flower
K1,534,2,Ctrl,N/A,12-Mar,8:46:00 AM,N/A,N/A,13-Mar,3:10,covered,N,"Ugly flower, brown anthers"
K1,550,3,Ctrl,N/A,12-Mar,8:47:00 AM,1,N/A,13-Mar,3:10,covered,N,
K1,559,3,Ctrl,N/A,12-Mar,8:50:00 AM,12,N/A,13-Mar,3:11,covered,N,
K1,559,6,Ctrl,N/A,12-Mar,8:52:00 AM,11,N/A,13-Mar,3:12,covered,N,
K1,557,1,ND,527,12-Mar,8:54:00 AM,N/A,N/A,13-Mar,3:12,covered,N,Lots of nectar
K1,551,1,NN,546,12-Mar,8:57:00 AM,12,N/A,13-Mar,3:13,covered,N,
K1,551,3,SW,531,12-Mar,9:00:00 AM,6,N/A,13-Mar,3:14,covered,N,
K1,545,1,NN,562,12-Mar,9:02:00 AM,N/A,N/A,13-Mar,3:15,open,N,
K1,545,4,ND,556,12-Mar,9:04:00 AM,N/A,N/A,13-Mar,3:15,covered,N,
K2,533,4,Ctrl,N/A,12-Mar,9:06:00 AM,0,N/A,13-Mar,3:17,covered,N,
K2,552,3,Ctrl,N/A,12-Mar,9:06:00 AM,N/A,N/A,13-Mar,3:18,covered,N,
K2,543,1,SW,527,12-Mar,9:09:00 AM,N/A,N/A,13-Mar,3:18,covered,N,
K2,536,1,NN,546,12-Mar,9:12:00 AM,N/A,N/A,13-Mar,3:19,covered,N,
K2,536,3,N,531,12-Mar,9:14:00 AM,N/A,546,13-Mar,3:19,covered,N,
K2,558,1,ND,556,12-Mar,9:20:00 AM,N/A,N/A,13-Mar,3:20,covered,N,
K2,558,6,N,562,12-Mar,9:23:00 AM,0,531,13-Mar,3:21,open,N,
K3,528,6,SW,556,12-Mar,9:32:00 AM,N/A,N/A,13-Mar,3:22,covered,N,Style stayed on fruit
K3,528,7,NN,562,12-Mar,9:35:00 AM,N/A,N/A,13-Mar,3:23,open,N,
K3,528,2,N,546,12-Mar,9:30:00 AM,17,527,13-Mar,3:23,covered,N,Tip of stigma is brown | Style stayed on fruit
K3,554,8,NN,531,12-Mar,9:37:00 AM,N/A,N/A,13-Mar,3:24,covered,N,
K3,538,3,NN,556,12-Mar,9:43:00 AM,N/A,N/A,13-Mar,3:25,covered,N,
K3,538,4,SW,562,12-Mar,9:45:00 AM,1,N/A,13-Mar,3:25,open,N,
K2,533,1,Ctrl,N/A,12-Mar,9:46:00 AM,N/A,N/A,13-Mar,3:17,covered,N,
tower,526,1,SW,531,13-Mar,7:57:00 AM,10,N/A,14-Mar,2:35,covered,N,
tower,526,3,NN,548,13-Mar,8:00:00 AM,8,N/A,14-Mar,2:35,covered,N,
tinamu,544,3,SW,556,13-Mar,8:09:00 AM,3,N/A,14-Mar,2:39,covered,N,
tinamu,561,4,NN,546,13-Mar,8:12:00 AM,N/A,N/A,14-Mar,2:40,covered,N,Open flower yesterday | Crazy inflorescence
old_pots,774,5,N,527,13-Mar,8:19:00 AM,11,548,14-Mar,2:43,covered,N,Removed one fruit in the bract
old_pots,774,6,N,548,13-Mar,8:21:00 AM,N/A,531,14-Mar,2:46,covered,N,
KT,770,5,SW,531,13-Mar,8:26:00 AM,N/A,N/A,14-Mar,2:48,covered,N,
K1,530,1,SW,556,13-Mar,8:40:00 AM,N/A,N/A,14-Mar,2:51,covered,N,
K1,530,3,ND,546,13-Mar,8:42:00 AM,N/A,N/A,14-Mar,2:52,covered,N,
K1,535,1,SW,527,13-Mar,8:46:00 AM,N/A,N/A,14-Mar,2:52,covered,N,
K1,535,7,SW,531,13-Mar,8:47:00 AM,10,N/A,14-Mar,2:53,covered,N,
K1,534,5,Ctrl,N/A,13-Mar,8:48:00 AM,N/A,N/A,14-Mar,2:53,covered,N,
K1,550,2,Ctrl,N/A,13-Mar,8:48:00 AM,N/A,N/A,14-Mar,2:53,covered,N,
K1,545,2,N,556,13-Mar,8:51:00 AM,N/A,527,14-Mar,2:54,covered,N,
K1,545,3,SW,546,13-Mar,8:52:00 AM,N/A,N/A,14-Mar,2:55,covered,N,
K1,551,4,ND,527,13-Mar,8:55:00 AM,N/A,N/A,14-Mar,2:55,covered,N,
K1,557,3,N,531,13-Mar,8:58:00 AM,N/A,546,14-Mar,2:56,covered,N,
K1,559,1,Ctrl,N/A,13-Mar,8:59:00 AM,N/A,N/A,14-Mar,2:56,covered,N,
K1,559,4,Ctrl,N/A,13-Mar,8:59:00 AM,N/A,N/A,14-Mar,2:57,covered,N,Eaten
K1,559,5,Ctrl,N/A,13-Mar,8:59:00 AM,N/A,N/A,14-Mar,2:58,covered,N,Open flower yesterday | Eaten
K2,532,4,N,556,13-Mar,9:03:00 AM,N/A,548,14-Mar,8:43,covered,N,Removed one fruit
K2,532,3,NN,546,13-Mar,9:04:00 AM,N/A,N/A,14-Mar,2:58,covered,N,
K2,536,2,ND,527,13-Mar,9:09:00 AM,N/A,N/A,14-Mar,3:00,covered,N,
K2,555,1,Ctrl,N/A,13-Mar,9:10:00 AM,N/A,N/A,14-Mar,3:00,covered,N,
K2,555,2,Ctrl,N/A,13-Mar,9:10:00 AM,N/A,N/A,14-Mar,3:01,covered,N,
K2,558,4,NN,531,13-Mar,9:16:00 AM,N/A,N/A,14-Mar,3:01,covered,N,
K3,528,1,ND,556,13-Mar,9:26:00 AM,13,N/A,14-Mar,3:02,covered,N,2 Mature fruits | Style stuck to fruit
K3,529,1,NN,546,13-Mar,9:31:00 AM,N/A,N/A,14-Mar,3:03,covered,N,
K3,529,2,N,556,13-Mar,9:33:00 AM,N/A,527,14-Mar,8:33,covered,N,
K3,529,3,SW,531,13-Mar,9:36:00 AM,10,N/A,14-Mar,8:36,covered,N,"Bad plant, looks sad and mouldy"
K3,538,2,ND,546,13-Mar,9:42:00 AM,N/A,N/A,14-Mar,3:04,covered,N,
K3,538,3,NN,556,13-Mar,9:43:00 AM,N/A,N/A,14-Mar,3:04,covered,N,Open flower yesterday
K3,563,1,Ctrl,N/A,13-Mar,9:50:00 AM,20,N/A,14-Mar,3:05,covered,N,
tower,526,2,N,531,14-Mar,7:40:00 AM,N/A,546,15-Mar,3:27,covered,N,
tower,526,4,ND,546,14-Mar,7:42:00 AM,N/A,N/A,15-Mar,3:27,covered,N,
tower,526,5,N,546,14-Mar,7:45:00 AM,2,562,15-Mar,3:28,covered,N,
tinamu,561,3,SW,527,14-Mar,7:54:00 AM,N/A,N/A,15-Mar,3:24,covered,N,
old_pots,547,4,NN,562,14-Mar,7:59:00 AM,N/A,N/A,15-Mar,3:19,covered,N,
old_pots,547,6,SW,531,14-Mar,8:01:00 AM,N/A,N/A,15-Mar,3:20,covered,N,"No pollen on flower, dark anthers"
old_pots,547,7,ND,546,14-Mar,8:02:00 AM,N/A,N/A,15-Mar,3:20,covered,N,Dark anthers
KT,770,2,N,527,14-Mar,8:09:00 AM,N/A,531,15-Mar,3:15,covered,N,
KT,770,3,NN,562,14-Mar,8:10:00 AM,N/A,N/A,15-Mar,3:15,covered,N,
KT,770,7,N,531,14-Mar,8:13:00 AM,N/A,546,15-Mar,3:16,covered,N,
K3,554,1,NN,546,14-Mar,8:22:00 AM,N/A,N/A,15-Mar,2:56,covered,N,Style stuck to fruit
K3,554,3,N,527,14-Mar,8:26:00 AM,N/A,562,15-Mar,2:56,covered,N,
K3,554,4,N,562,14-Mar,8:29:00 AM,N/A,527,15-Mar,2:56,covered,N,Style stuck to fruit
K3,553,4,SW,531,14-Mar,8:32:00 AM,N/A,N/A,15-Mar,2:52,covered,N,
K3,529,5,N,546,14-Mar,8:35:00 AM,N/A,N/A,15-Mar,2:54,covered,N,Bad inflorescence
K3,538,4,SW,527,14-Mar,8:40:00 AM,N/A,N/A,15-Mar,2:58,covered,N,
K2,532,1,SW,562,14-Mar,8:44:00 AM,N/A,N/A,15-Mar,2:59,covered,N,
K2,532,2,NN,531,14-Mar,8:46:00 AM,N/A,N/A,15-Mar,2:59,covered,N,
K2,532,5,ND,546,14-Mar,8:47:00 AM,N/A,N/A,15-Mar,3:00,covered,N,
K2,532,6,SW,527,14-Mar,8:50:00 AM,N/A,N/A,15-Mar,3:00,covered,N,"Dark flower, fungus on flower"
K2,533,2,Ctrl,N/A,14-Mar,8:52:00 AM,N/A,N/A,15-Mar,3:01,covered,N,
K2,533,4,Ctrl,N/A,14-Mar,8:52:00 AM,N/A,N/A,15-Mar,3:01,covered,N,
